category,word
cost,price
cost,value
cost,warranty
performance,engine
performance,power
performance,hp
performance,speed
performance,run
performance,transmission
gas,mileage
gas,mpg
gas,fuel
gas,mile 
look,interior
look,design
look,sporty
look,pretty
look,quality
size,big
size,small
size,midsize
size,large
