category,word
aspirational,buy
aspirational,sale
aspirational,consider
aspirational,dealer
aspirational,offer
aspirational,buyer
aspirational,great
aspirational,pay
aspirational,value
aspirational,try
aspirational,nice
aspirational,dealer
aspirational,deal
